feature,mean_abs_shap,mean_shap
curr_ann_amt,0.664927039612568,0.664927039612568
marital_status_Single,0.4636712394240336,0.04274566624205089
latitude,0.3512906750982292,0.3512906750982292
longitude,0.3165170839603165,0.3162963406627313
length_of_residence,0.20347322108243626,-0.20347322108243626
cust_orig_days_since,0.10082632625117914,-0.10082632625117914
good_credit,0.06844174251199606,-0.06844174251199606
age_in_years,0.06690357519921519,-0.051898999821480024
days_tenure,0.05233063394800988,-0.049035522129712
city_Terrell,0.022429987284601143,0.014990939552876748
college_degree,0.017843345537094015,0.0004968502513856394
city_Royse City,0.015906178204715328,0.012855207875788423
income,0.008249508496047938,0.008002496762611949
has_children,0.0033677826230758805,0.003304588134755336
age,0.002104844701800091,-0.002104844701800091
home_market_value_50000 - 74999,0.0006943254752097582,0.0001495491355895735
city_Arlington,0.0004799505490375074,-1.3735749582027374e-05
city_Flower Mound,0.0003197360433423845,-1.7805927146013493e-05
home_market_value_175000 - 199999,0.0002830390504739764,1.903036620258625e-05
city_Weatherford,0.00019628493097587616,2.2229508409787187e-05
city_Haslet,0.00018808764669053736,6.556136524519327e-06
city_Lewisville,0.00014585287387349939,1.0674402729984767e-05
city_Mansfield,0.00011785318881182534,-1.710673433054346e-06
home_market_value_75000 - 99999,9.828559348518196e-05,-2.423702894631962e-06
city_Little Elm,8.827566993677999e-05,-1.937797288124527e-06
city_Joshua,6.618670935483542e-05,-9.07145540964618e-07
home_market_value_300000 - 349999,4.716555916014052e-05,-8.996248336946851e-07
home_market_value_450000 - 499999,4.198880797445865e-05,-9.98033749781906e-06
city_Euless,3.9371278003485846e-05,-4.3562179010102193e-07
city_Rice,2.8312822382878683e-05,4.989901872555975e-06
home_owner,2.704321185559333e-05,-2.6545892900103035e-05
city_Lancaster,2.5479724009358357e-05,-1.31493124833701e-06
city_Sachse,2.2805696054624992e-05,-2.8997982148085796e-06
home_market_value_750000 - 999999,1.867356791842186e-05,-3.256446178137439e-06
city_Bedford,1.8428890551539112e-05,1.8194235582394754e-05
city_Carrollton,1.2066820827613122e-05,1.3629406913581014e-06
city_The Colony,9.782355943614053e-06,-2.933169936615698e-07
city_Balch Springs,5.251777235792577e-06,-3.723949258757454e-07
city_Sunnyvale,4.747341122940385e-06,-7.239310214204298e-08
city_Hutchins,2.350914744652598e-06,1.840293859015791e-07
city_Colleyville,1.6161098039553235e-06,5.639921805146817e-07
city_Crowley,1.3876682909285982e-06,-8.406228010387843e-08
city_Krum,1.2935488683361666e-06,-1.627142174327206e-07
home_market_value_200000 - 224999,1.2109552452300534e-06,-6.286296776982706e-07
city_Milford,1.1343362071237382e-06,-1.1343362071237382e-06
home_market_value_100000 - 124999,3.5683719505894444e-07,9.462490403556031e-08
city_Kennedale,2.6838500428300855e-07,2.6838500428300855e-07
city_Forreston,6.922447940976335e-08,6.922447940976335e-08
home_market_value_125000 - 149999,4.029889869212e-10,-2.2210188483724636e-10
city_Fort Worth,3.321411933265042e-10,2.5110244101903937e-10
home_market_value_25000 - 49999,2.150986494597557e-10,1.905826157301302e-10
county_Grayson,0.0,0.0
city_Sanger,0.0,0.0
county_Ellis,0.0,0.0
county_Denton,0.0,0.0
county_Dallas,0.0,0.0
county_Cooke,0.0,0.0
city_Springtown,0.0,0.0
city_Wylie,0.0,0.0
city_Scurry,0.0,0.0
city_Seagoville,0.0,0.0
city_Waxahachie,0.0,0.0
county_Hill,0.0,0.0
city_Valley View,0.0,0.0
city_Tioga,0.0,0.0
city_Southlake,0.0,0.0
city_Wilmer,0.0,0.0
city_Denton,0.0,0.0
county_Hunt,0.0,0.0
home_market_value_225000 - 249999,0.0,0.0
city_Aledo,0.0,0.0
home_market_value_500000 - 749999,0.0,0.0
city_Allen,0.0,0.0
city_Anna,0.0,0.0
home_market_value_400000 - 449999,0.0,0.0
home_market_value_350000 - 399999,0.0,0.0
city_Argyle,0.0,0.0
home_market_value_275000 - 299999,0.0,0.0
home_market_value_250000 - 274999,0.0,0.0
city_Aubrey,0.0,0.0
county_Johnson,0.0,0.0
home_market_value_150000 - 174999,0.0,0.0
home_market_value_1000000 Plus,0.0,0.0
city_Azle,0.0,0.0
county_Tarrant,0.0,0.0
county_Rockwall,0.0,0.0
county_Parker,0.0,0.0
city_Burleson,0.0,0.0
county_Navarro,0.0,0.0
county_Kaufman,0.0,0.0
city_Blue Ridge,0.0,0.0
city_Caddo Mills,0.0,0.0
city_Rowlett,0.0,0.0
city_Grapevine,0.0,0.0
city_Keller,0.0,0.0
city_Kaufman,0.0,0.0
city_Justin,0.0,0.0
city_Coppell,0.0,0.0
city_Italy,0.0,0.0
city_Irving,0.0,0.0
city_Hurst,0.0,0.0
city_Crandall,0.0,0.0
city_Haltom City,0.0,0.0
city_Grand Prairie,0.0,0.0
city_Lake Dallas,0.0,0.0
city_Garland,0.0,0.0
city_Frisco,0.0,0.0
city_Forney,0.0,0.0
city_Ferris,0.0,0.0
city_Farmersville,0.0,0.0
city_Dallas,0.0,0.0
city_Era,0.0,0.0
city_Ennis,0.0,0.0
city_Duncanville,0.0,0.0
city_Kemp,0.0,0.0
city_Lavon,0.0,0.0
city_Rockwall,0.0,0.0
city_Palmer,0.0,0.0
city_Roanoke,0.0,0.0
city_Richardson,0.0,0.0
city_Desoto,0.0,0.0
city_Red Oak,0.0,0.0
city_Prosper,0.0,0.0
city_Princeton,0.0,0.0
city_Ponder,0.0,0.0
city_Plano,0.0,0.0
city_Pilot Point,0.0,0.0
city_North Richland Hills,0.0,0.0
city_Chatfield,0.0,0.0
city_Nevada,0.0,0.0
city_Naval Air Station Jrb,0.0,0.0
city_Midlothian,0.0,0.0
city_Mesquite,0.0,0.0
city_Mertens,0.0,0.0
city_Melissa,0.0,0.0
city_Mckinney,0.0,0.0
city_Cedar Hill,0.0,0.0
city_Celina,0.0,0.0
city_Maypearl,0.0,0.0
